report_id,type,serial,time,lat,long
9471,incident,75,2022-09-26 20:15:00,43.93333333333333,-9.916666666666666
9496,incident,76,2022-09-30 13:29:00,38.24326666666666,-8.866
9539,incident,77,2022-10-02 04:30:00,37.9,-9.1
9542,incident,78,2022-10-02 14:10:00,38.15,-9.05
9544,incident,79,2022-09-28 00:45:00,38.565333333333335,-9.563833333333333
9555,incident,80,2022-10-03 03:30:00,38.03,-9.006666666666666
9580,incident,81,2022-10-02 04:30:00,37.895133333333334,-9.138716666666667
9585,incident,82,2022-10-02 10:30:00,38.13093333333333,-9.048083333333333
9600,incident,83,2022-10-05 12:30:00,38.333333333333336,-9.05
9624,incident,84,2022-10-05 11:00:00,38.31,-9.048333333333334
9632,incident,85,2022-10-09 19:20:00,37,-8.533333333333333
9644,incident,86,2022-10-09 13:15:00,37.039,-8.348966666666666
9659,incident,87,2022-10-14 15:40:00,37.07,-9.136666666666667
9665,incident,88,2022-10-03 13:30:00,35.93333333333333,-5.716666666666667
9677,incident,89,2022-10-18 08:15:00,43.793483333333334,-7.754283333333333
9720,incident,90,2022-10-27 07:30:00,38.38333333333333,-9.266666666666667
9799,incident,91,2022-03-13 10:03:00,36.88333333333333,-8.633333333333333
9817,incident,92,2022-11-12 08:50:00,44.01,-7.543333333333333
9820,incident,93,2022-11-14 13:29:00,38.186618333333335,-9.07436
9948,incident,94,2022-11-01 11:05:00,41.68333333333333,-9.133333333333333
9952,incident,95,2022-05-02 11:37:00,36.04115,-5.923466666666666
9953,incident,96,2022-11-19 16:15:00,38.416666666666664,-9.066666666666666
9956,incident,97,2022-04-26 00:06:00,36.127583333333334,-6.0217833333333335
9961,incident,98,2022-10-20 13:00:00,46.03333333333333,-2.4333333333333336
10051,incident,99,2022-09-20 11:00:00,43.84048333333333,-8.14205
10054,incident,100,2022-11-24 09:35:00,42.89333333333333,-9.505
10091,incident,101,2022-11-20 10:50:00,38.6,-9.083333333333334
10101,incident,102,2022-06-01 11:00:00,36.157916666666665,-6.333616666666667
10111,incident,103,2022-11-16 16:00:00,38.48116666666667,-8.937666666666667
10114,incident,104,2022-12-03 12:33:00,38.61893333333333,-9.504816666666667
10120,incident,105,2022-12-03 16:00:00,38.7427,-9.563383333333332
10296,incident,106,2022-11-30 11:00:00,37.391333333333336,-8.9365
10307,incident,107,2022-09-16 12:00:00,42.083333333333336,-9.033333333333333
10320,incident,108,2023-01-07 04:00:00,35.902,-5.902066666666666
10424,incident,109,2023-02-07 18:05:00,35.85333333333333,-5.953333333333333
10428,incident,110,2023-02-12 15:11:00,35.81666666666667,-5.916666666666667
10460,incident,111,2023-02-20 13:15:00,38.440333333333335,-9.217833333333333
10465,incident,112,2023-02-21 15:00:00,38.400666666666666,-9.282
10495,incident,114,2023-01-26 23:05:00,38.416666666666664,-9.3
10615,incident,116,2023-03-10 07:15:00,35.8226,-5.972433333333333
10644,incident,117,2023-03-23 22:30:00,38.10433333333334,-9.179
10648,incident,118,2023-03-25 13:45:00,39.510333333333335,-9.408666666666667
10651,incident,119,2023-03-27 11:15:00,35.88333333333333,-5.833333333333333
